Grid pt,Site,GIS_ID,Original grid pt,Date,Easting,Northing,Peat depth (cm),Soil notes,Forested? (Y/N),Other notes
1,Long Moss,SPLMP_1,1,Jan 2018,362850,570600,40,,Y,On slope down to river
2,Long Moss,SPLMP_2,2,Jan 2018,362500,570550,0,,Y,By river
3,Long Moss,SPLMP_3,3,Jan 2018,362550,570550,0,,Y,By river 
4,Long Moss,SPLMP_4,4,Jan 2018,362600,570550,0,,Y,On slope down to river
5,Long Moss,SPLMP_5,5,Jan 2018,362650,570550,20,,Y,On slope down to river
6,Long Moss,SPLMP_6,6,Jan 2018,362700,570550,20,,Y,On slope down to river
7,Long Moss,SPLMP_7,7,Jan 2018,362750,570550,20,,Y,On slope down to river
8,Long Moss,SPLMP_8,8,Jan 2018,362800,570550,40,,Y,On slope down to river
9,Long Moss,SPLMP_9,9,Jan 2018,362850,570550,50,,Y,On slope down to river
10,Long Moss,SPLMP_10,10,Jan 2018,362900,570550,50,,Y ,Edge of forest by wire fence
11,Long Moss,SPLMP_11,11,Jan 2018,362400,570500,0,,Y,By river
12,Long Moss,SPLMP_12,12,Jan 2018,362450,570500,20,,Y,
13,Long Moss,SPLMP_13,13,Jan 2018,362500,570500,40,,Y,
14,Long Moss,SPLMP_14,14,Jan 2018,362550,570500,50,,Y,
15,Long Moss,SPLMP_15,15,Jan 2018,362600,570500,80,,Y,
16,Long Moss,SPLMP_16,16,Jan 2018,362650,570500,30,,Y,
17,Long Moss,SPLMP_17,17,Jan 2018,362700,570500,40,Peat over very gritty clay,Y,Verified with auger. 
18,Long Moss,SPLMP_18,18,Jan 2018,362750,570500,50,,Y,
19,Long Moss,SPLMP_19,19,Jan 2018,362800,570500,60,,Y,
20,Long Moss,SPLMP_20,20,Jan 2018,362850,570500,110,,Y,
21,Long Moss,SPLMP_21,21,Jan 2018,362900,570500,170,,Y,
22,Long Moss,SPLMP_22,22,Jan 2018,362350,570450,0,,Y,By river
23,Long Moss,SPLMP_23,23,Jan 2018,362400,570450,70,,Y,Sloping down to river
24,Long Moss,SPLMP_24,24,Jan 2018,362450,570450,60,,Y,
25,Long Moss,SPLMP_25,35,Jan 2018,362050,570400,20,Peat over rock,Y,Sloping bank down to river. Edge of peat assumed between here and river. 
26,Long Moss,SPLMP_26,36,Jan 2018,362100,570400,15,Peaty soil,Y,At edge
27,Long Moss,SPLMP_27,37,Jan 2018,362150,570400,30,,Y,
28,Long Moss,SPLMP_28,38,Jan 2018,362200,570400,20,,Y,
29,Long Moss,SPLMP_29,39,Jan 2018,362300,570400,0,,Y,By river
30,Long Moss,SPLMP_30,40,Jan 2018,362350,570400,40,,Y,
31,Long Moss,SPLMP_31,41,Jan 2018,362400,570400,20,,Y,Edge of clearing
32,Long Moss,SPLMP_32,42,Jan 2018,362450,570400,40,,Y,By fence
33,Long Moss,SPLMP_33,43,Jan 2018,362500,570400,40,,Y,
34,Long Moss,SPLMP_34,45,Jan 2018,362600,570400,45,,Y,
35,Long Moss,SPLMP_35,47,Jan 2018,362700,570400,30,,Y,
36,Long Moss,SPLMP_36,49,Jan 2018,362800,570400,40,,Y,
37,Long Moss,SPLMP_37,51,Jan 2018,362900,570400,35,,Y,
38,Long Moss,SPLMP_38,52,Jan 2018,362950,570400,40,,Y,
39,Long Moss,SPLMP_39,53,Jan 2018,362000,570350,0,Sandy organic soil,Y,Edge of forest. Steep drop to river
40,Long Moss,SPLMP_40,58,Jan 2018,362250,570350,50,,Y,
41,Long Moss,SPLMP_41,59,Jan 2018,362300,570350,30,,Y,
42,Long Moss,SPLMP_42,63,Jan 2018,362500,570350,200,,Y,Peaty forestry furrows. Lovely lichens.
43,Long Moss,SPLMP_43,74,Jan 2018,362000,570300,0,,N,"Edge, in old quarry? RAF training area."
44,Long Moss,SPLMP_44,75,Jan 2018,362050,570300,40,Peat over stone,Y,Mound with brash
45,Long Moss,SPLMP_45,76,Jan 2018,362100,570300,50,,Y,"Dense young conifers, difficult to move through!"
46,Long Moss,SPLMP_46,77,Jan 2018,362150,570300,40,,Y,Dense young conifers
47,Long Moss,SPLMP_47,78,Jan 2018,362200,570300,80,,Y,Dense young conifers
48,Long Moss,SPLMP_48,79,Jan 2018,362250,570300,100,,Y,Dense young conifers
49,Long Moss,SPLMP_49,80,Jan 2018,362300,570300,30,,Y,
50,Long Moss,SPLMP_50,81,Jan 2018,362350,570300,20,,Y,Dense young conifers. Sloping
51,Long Moss,SPLMP_51,82,Jan 2018,362400,570300,40,,Y,Smallish trees on old clearfell. Gentle slope down to SW. some boulders at surface
52,Long Moss,SPLMP_52,83,Jan 2018,362450,570300,200,,Y,Smallish trees on old clearfell
53,Long Moss,SPLMP_53,84,Jan 2018,362500,570300,120,,Y,Stunted trees in places
54,Long Moss,SPLMP_54,86,Jan 2018,362600,570300,50,,Y,
55,Long Moss,SPLMP_55,88,Jan 2018,362700,570300,80,,Y,
56,Long Moss,SPLMP_56,90,Jan 2018,362800,570300,60,,Y,
57,Long Moss,SPLMP_57,92,Jan 2018,362900,570300,120,,Y,
58,Long Moss,SPLMP_58,94,Jan 2018,363000,570300,30,,Y,Edge
59,Long Moss,SPLMP_59,95,Jan 2018,361950,570250,0,,N,Visually no peat
60,Long Moss,SPLMP_60,97,Jan 2018,362050,570250,160,Verified with auger. Peat and woody peat,Y,Beside ditch T3. 
